id;name;count;type
489;Tubulação;12;NULL
490;Superquadra;15;NULL
491;"Centro cívico";113;NULL
492;"Painel pré moldado";9;NULL
493;Placa;3;NULL
494;Bar;4;NULL
495;Esquadro;1;NULL
496;Abóboda;2;NULL
497;Catedral;61;NULL
498;"Angra dos Reis";1;NULL
499;"teatro municipal";2;NULL
500;vista;7;NULL
501;"edifício histórico";1;NULL
502;"vista para o teatro";1;NULL
503;"Paisagem Natural";1;NULL
504;Morro;6;NULL
505;Vegetação;1602;NULL
506;"Árvore de porte";253;NULL
507;cachaça;3;NULL
508;"engenho de cana-de-açúcar";1;NULL
509;alambique;1;NULL
510;"mapa da cachaça";1;NULL
511;"alambique de cachaça";1;NULL
512;tiradentes;2;NULL
513;"coronel xavier chaves";1;NULL
514;"Painel vazado";2;NULL
515;Rio;18;NULL
516;Sino;4;NULL
517;Caminho;139;NULL
518;Espelho;12;NULL
519;colunas;1;NULL
520;arquitetura;65;NULL
521;"concreto aparente pilar";1;NULL
522;"caixilho concreto vidro piso";1;NULL
523;Dark;1;NULL
524;"Sao Paulo";73;NULL
525;Dirty;1;NULL
526;"Preto e Branco";5;NULL
527;Segnini;31;NULL
528;Barretto;31;NULL
529;"Arquitetura Brutalista";9;NULL
530;"Arquitetura Brutalista. Arquitetura Moderna";1;NULL
531;teste;1;NULL
532;"Ribeirão Preto";389;NULL
533;Volumetria;26;NULL
534;casca;5;NULL
535;"sistema viário";1;NULL
536;tirantes;1;NULL
537;germano;1;NULL
538;uberaba;9;NULL
539;gultzgoff;7;NULL
540;moderna;8;NULL
541;condomínio;2;NULL
542;alex;1;NULL
543;contemporânea;1;NULL
544;Abóbadas;1;NULL
545;Arcos;1;NULL
546;Curvas;4;NULL
547;"Janela em fita";2;NULL
548;Balanço;8;NULL
549;Átrio;1;NULL
550;Paisagismo;23;NULL
551;Sineiro;2;NULL
552;Pináculo;42;NULL
553;Cunhal;2;NULL
554;Cruz;4;NULL
555;Forte;6;NULL
556;Canhão;1;NULL
557;Guindaste;2;NULL
558;"Estrutura metálica pré-fabricada";2;NULL
559;Docas;1;NULL
560;Militar;2;NULL
561;"Ijair Cunha";11;NULL
562;Soutello;4;NULL
563;Vigas;2;NULL
564;Zanettini;5;NULL
565;Reboco;3;NULL
566;"Caixa d'´gua";2;NULL
567;1959;1;NULL
568;barão;1;NULL
569;Carlo;1;NULL
570;patriarca;4;NULL
571;Merrill;1;NULL
572;direita;1;NULL
573;sé;2;NULL
574;Gian;1;NULL
575;Owings;1;NULL
576;unibanco;1;NULL
577;céu;1;NULL
578;Jacques;1;NULL
579;iguape;1;NULL
580;Gasperini;1;NULL
581;Pilon;1;NULL
582;Skidmore;1;NULL
583;arranha;1;NULL
584;Piloti;5;NULL
585;Pós-Modernismo;7;NULL
586;Demolição;2;NULL
587;"FAU Artigas "Vilanova Artigas"";1;NULL
588;"FAU Artigas "Vilanova Artigas" brutalismo modernismo";1;NULL
589;"FAU Artigas "Vilanova Artigas" biblioteca modernismo";1;NULL
590;"FAU Artigas museu "Vilanova Artigas" "Piso do Museu"";1;NULL
591;"FAU caramelo "Vilanova Artigas"Artigas greve assembleia";2;NULL
592;"FAU rampas Artigas modernismo brutalismo "Vilanova Artigas"";1;NULL
593;"Caixa d´água";33;NULL
594;Arrimo;12;NULL
595;"Arquitetura Brasileira";1;NULL
596;Hera;1;NULL
597;"Manoel Garcia";11;NULL
598;"Desenho de piso";104;NULL
599;Arranha-ceú;2;NULL
600;Implantação;2;NULL
601;"Castor Delgado Perez";1;NULL
602;"Rino Levi";6;NULL
603;Gramado;786;NULL
604;"Rede de Caminhos";53;NULL
605;Rotatória;3;NULL
606;Forração;52;NULL
607;Frontispício;17;NULL
608;"Acesso ao metrô";17;NULL
609;Canteiro;343;NULL
610;"Ponto de táxi";4;NULL
611;"Piso processado";2;NULL
612;Ecadaria;1;NULL
613;Gradil;116;NULL
614;"Platibanda Sacada";1;NULL
615;Palmeira;43;NULL
616;Terra;231;NULL
617;Cobre;23;NULL
618;"Concreto estampado";48;NULL
619;"Elemento circular";8;NULL
620;"Canteiros Floridos";10;NULL
621;"Entablamento Janela";1;NULL
622;Alvenria;1;NULL
623;"Canteiro florido";11;NULL
624;"Palmeira Imperial";21;NULL
625;"Fonte Caixilho";1;NULL
626;Entablamento;1;NULL
627;Quiosque;42;NULL
628;"Escultura em aço";1;NULL
629;"Escultura em bronze";6;NULL
630;"Palmeira imperiai";2;NULL
631;Caxilho;1;NULL
632;Grantio;1;NULL
633;Contraforte;8;NULL
634;"Estrutura Metálica Espelho d'água";1;NULL
635;Cascata;15;NULL
636;"Catedral Prédio";1;NULL
637;"Relógio Telha cerâmica";1;NULL
638;"Frontão redondo";1;NULL
639;Ladrilho;2;NULL
640;"Terminal de ônibus";1;NULL
641;Planta;3;NULL
642;"Parque linear";8;NULL
643;Projeto;3;NULL
